date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:57	153/153	---M-Z	200	added ('OK')	text/plain	date:Tue,%2014%20Jun%202022%2016:13:55%20GMT	https://metodohomeofficelucrativo.com/robots.txt		(from )
13:14:02	249951/249951	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2016:13:55%20GMT	https://metodohomeofficelucrativo.com/pv/?mcr=BLR1500735&gclid=CjwKCAjw46CVBhB1EiwAgy6M4rsIPWu1xfH0whBeUbyX6mm108hlU_HMY3HXp2ojKnKu-SiPGvybpBoCOF8QAvD_BwE	C:/Users/Erileudo/Desktop/Home%20office/projeto%201/metodohomeofficelucrativo.com/pv/indexee0e.html	(from )
13:14:03	154785/154785	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2015:11:29%20GMT	https://metodohomeofficelucrativo.com/wp-content/cache/wpo-minify/1648825886/assets/wpo-minify-header-a8e51ac6.min.css	C:/Users/Erileudo/Desktop/Home%20office/projeto%201/metodohomeofficelucrativo.com/wp-content/cache/wpo-minify/1648825886/assets/wpo-minify-header-a8e51ac6.min.css	(from https://metodohomeofficelucrativo.com/pv/?mcr=BLR1500735&gclid=CjwKCAjw46CVBhB1EiwAgy6M4rsIPWu1xfH0whBeUbyX6mm108hlU_HMY3HXp2ojKnKu-SiPGvybpBoCOF8QAvD_BwE)
13:14:04	161802/161802	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2015:11:29%20GMT	https://metodohomeofficelucrativo.com/wp-content/cache/wpo-minify/1648825886/assets/wpo-minify-header-80d4332d.min.js	C:/Users/Erileudo/Desktop/Home%20office/projeto%201/metodohomeofficelucrativo.com/wp-content/cache/wpo-minify/1648825886/assets/wpo-minify-header-80d4332d.min.js	(from https://metodohomeofficelucrativo.com/pv/?mcr=BLR1500735&gclid=CjwKCAjw46CVBhB1EiwAgy6M4rsIPWu1xfH0whBeUbyX6mm108hlU_HMY3HXp2ojKnKu-SiPGvybpBoCOF8QAvD_BwE)
13:14:04	943390/943390	---MCZ	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2015:11:44%20GMT	https://metodohomeofficelucrativo.com/wp-content/cache/wpo-minify/1648825886/assets/wpo-minify-header-1516674b.min.css	C:/Users/Erileudo/Desktop/Home%20office/projeto%201/metodohomeofficelucrativo.com/wp-content/cache/wpo-minify/1648825886/assets/wpo-minify-header-1516674b.min.css	(from https://metodohomeofficelucrativo.com/pv/?mcr=BLR1500735&gclid=CjwKCAjw46CVBhB1EiwAgy6M4rsIPWu1xfH0whBeUbyX6mm108hlU_HMY3HXp2ojKnKu-SiPGvybpBoCOF8QAvD_BwE)
13:14:04	2488/2488	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Mar%202021%2004:42:12%20GMT	https://metodohomeofficelucrativo.com/wp-content/uploads/2021/03/cropped-APRENDA-A-SE-POSICIONAR-NAS-REDES-SOCIAIS.-PALESTRA-COM-O-FAMOSO-ROBERTO-VILLAREAL.-Rua-do-Porto-82-Porto-Velho-RO-10_12_2020-20h-2-32x32.png	C:/Users/Erileudo/Desktop/Home%20office/projeto%201/metodohomeofficelucrativo.com/wp-content/uploads/2021/03/cropped-APRENDA-A-SE-POSICIONAR-NAS-REDES-SOCIAIS.-PALESTRA-COM-O-FAMOSO-ROBERTO-VILLAREAL.-Rua-do-Porto-82-Porto-Velho-RO-10_12_20	(from https://metodohomeofficelucrativo.com/pv/?mcr=BLR1500735&gclid=CjwKCAjw46CVBhB1EiwAgy6M4rsIPWu1xfH0whBeUbyX6mm108hlU_HMY3HXp2ojKnKu-SiPGvybpBoCOF8QAvD_BwE)
13:14:04	40033/40033	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Mar%202021%2004:42:11%20GMT	https://metodohomeofficelucrativo.com/wp-content/uploads/2021/03/cropped-APRENDA-A-SE-POSICIONAR-NAS-REDES-SOCIAIS.-PALESTRA-COM-O-FAMOSO-ROBERTO-VILLAREAL.-Rua-do-Porto-82-Porto-Velho-RO-10_12_2020-20h-2-192x192.png	C:/Users/Erileudo/Desktop/Home%20office/projeto%201/metodohomeofficelucrativo.com/wp-content/uploads/2021/03/cropped-APRENDA-A-SE-POSICIONAR-NAS-REDES-SOCIAIS.-PALESTRA-COM-O-FAMOSO-ROBERTO-VILLAREAL-2.-Rua-do-Porto-82-Porto-Velho-RO-10_12_20	(from https://metodohomeofficelucrativo.com/pv/?mcr=BLR1500735&gclid=CjwKCAjw46CVBhB1EiwAgy6M4rsIPWu1xfH0whBeUbyX6mm108hlU_HMY3HXp2ojKnKu-SiPGvybpBoCOF8QAvD_BwE)
13:14:04	18193/18193	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Feb%202021%2015:01:25%20GMT	https://metodohomeofficelucrativo.com/wp-content/uploads/2021/02/TERMOS-1.png	C:/Users/Erileudo/Desktop/Home%20office/projeto%201/metodohomeofficelucrativo.com/wp-content/uploads/2021/02/TERMOS-1.png	(from https://metodohomeofficelucrativo.com/pv/?mcr=BLR1500735&gclid=CjwKCAjw46CVBhB1EiwAgy6M4rsIPWu1xfH0whBeUbyX6mm108hlU_HMY3HXp2ojKnKu-SiPGvybpBoCOF8QAvD_BwE)
13:14:04	250058/250058	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2021:38:49%20GMT	https://metodohomeofficelucrativo.com/pv/	C:/Users/Erileudo/Desktop/Home%20office/projeto%201/metodohomeofficelucrativo.com/pv/index.html	(from https://metodohomeofficelucrativo.com/pv/?mcr=BLR1500735&gclid=CjwKCAjw46CVBhB1EiwAgy6M4rsIPWu1xfH0whBeUbyX6mm108hlU_HMY3HXp2ojKnKu-SiPGvybpBoCOF8QAvD_BwE)
13:14:04	36083/36083	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Mar%202021%2004:42:12%20GMT	https://metodohomeofficelucrativo.com/wp-content/uploads/2021/03/cropped-APRENDA-A-SE-POSICIONAR-NAS-REDES-SOCIAIS.-PALESTRA-COM-O-FAMOSO-ROBERTO-VILLAREAL.-Rua-do-Porto-82-Porto-Velho-RO-10_12_2020-20h-2-180x180.png	C:/Users/Erileudo/Desktop/Home%20office/projeto%201/metodohomeofficelucrativo.com/wp-content/uploads/2021/03/cropped-APRENDA-A-SE-POSICIONAR-NAS-REDES-SOCIAIS.-PALESTRA-COM-O-FAMOSO-ROBERTO-VILLAREAL-3.-Rua-do-Porto-82-Porto-Velho-RO-10_12_20	(from https://metodohomeofficelucrativo.com/pv/?mcr=BLR1500735&gclid=CjwKCAjw46CVBhB1EiwAgy6M4rsIPWu1xfH0whBeUbyX6mm108hlU_HMY3HXp2ojKnKu-SiPGvybpBoCOF8QAvD_BwE)
